layer,dep_name,prov_name,type,download_path
SAN MARTIN,SAN MARTIN,nill,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep/san_martin_simplified.gpkg
TACNA,TACNA,nill,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep/tacna.gpkg
TACNA,TACNA,nill,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep/tacna_simplified.gpkg
TUMBES,TUMBES,nill,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep/tumbes.gpkg
TUMBES,TUMBES,nill,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep/tumbes_simplified.gpkg
UCAYALI,UCAYALI,nill,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep/ucayali.gpkg
UCAYALI,UCAYALI,nill,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/dep/ucayali_simplified.gpkg
AMAZONAS,AMAZONAS,BAGUA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_bagua.gpkg
AMAZONAS,AMAZONAS,BAGUA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_bagua_simplified.gpkg
AMAZONAS,AMAZONAS,BONGARA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_bongara.gpkg
AMAZONAS,AMAZONAS,BONGARA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_bongara_simplified.gpkg
AMAZONAS,AMAZONAS,CHACHAPOYAS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_chachapoyas.gpkg
AMAZONAS,AMAZONAS,CHACHAPOYAS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_chachapoyas_simplified.gpkg
AMAZONAS,AMAZONAS,CONDORCANQUI,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_condorcanqui.gpkg
AMAZONAS,AMAZONAS,CONDORCANQUI,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_condorcanqui_simplified.gpkg
AMAZONAS,AMAZONAS,LUYA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_luya.gpkg
AMAZONAS,AMAZONAS,LUYA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_luya_simplified.gpkg
AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_rodriguez_de_mendoza.gpkg
AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_rodriguez_de_mendoza_simplified.gpkg
AMAZONAS,AMAZONAS,UTCUBAMBA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_utcubamba.gpkg
AMAZONAS,AMAZONAS,UTCUBAMBA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/amazonas_utcubamba_simplified.gpkg
ANCASH,ANCASH,AIJA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ancash_aija.gpkg
